"sc-bypJrT src","at__sc-13im4jp-5","sc-bypJrT src 2","sc-bypJrT src 3","sc-bypJrT src 4","at__sc-1mc7cl3-5","sc-kpDqfm href","sc-kpDqfm 2","sc-jlZhew","sc-jlZhew 2","sc-jlZhew 3","sc-jlZhew 4","sc-jlZhew 5","sc-jlZhew 6","sc-jlZhew 7","sc-jlZhew 8","sc-jlZhew 9","sc-jlZhew 10","sc-jlZhew 11","sc-jlZhew 12","sc-iMWBiJ","sc-iMWBiJ href","at__sc-1mc7cl3-12","atds-icon-svg 5","sc-iMWBiJ 2","sc-iMWBiJ href 2","at__sc-m0lx8i-1","atds-icon-svg 6","at__sc-m0lx8i-2","at__sc-18xcnpu-3 src","sc-jEACwC"
"https://m.atcdn.co.uk/a/media/w340h255/4a2ca73e5d7d4bbfa38f2101f9883530.jpg","12","https://m.atcdn.co.uk/a/media/w108h81/f9e109915b964e0caf020d579f8c0ce8.jpg","https://m.atcdn.co.uk/a/media/w108h81/0a9048c1d1e84be791da709940ba3c26.jpg","https://m.atcdn.co.uk/a/media/w108h81/9a3ca576959b4f6aa242212e478aec1a.jpg","£2,490","https://www.autotrader.co.uk/car-details/202310183105508?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Cayenne","4.5 S Tiptronic S AWD 5dr","Spare Or Repairs only","2004 (54 reg)","SUV","95,118 miles","4.5L","340BHP","Automatic","Petrol","8 owners","Part service history","Empire Cars -","See all 63 cars","https://www.autotrader.co.uk/dealers/bedfordshire/bedford/empire-cars-341667?channel=cars","4.9","Seller reviews","(295 reviews)","https://www.autotrader.co.uk/dealers/bedfordshire/bedford/empire-cars-341667?channel=cars#reviews","Bedford","Dealer location","(77 miles)","https://m.atcdn.co.uk/dealer-logo/at2/adbranding/341667/images/searchlogo.gif",""
"https://m.atcdn.co.uk/a/media/w340h255/d1ca05e087c1462d93c63fedfd5303ac.jpg","6","https://m.atcdn.co.uk/a/media/w108h81/835214c78b414481b0b3e43afa9d1bc3.jpg","https://m.atcdn.co.uk/a/media/w108h81/36253d8c93fe463ebd34363098b75157.jpg","https://m.atcdn.co.uk/a/media/w108h81/d8cba067920a43b99b7fe8095fa2fed7.jpg","£2,495","https://www.autotrader.co.uk/car-details/202401316084234?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Boxster","3.2 986 S Tiptronic S 2dr","Px to clear ! Read add.!!,,,","2000 (X reg)","Convertible","189,000 miles","3.2L","252BHP","Automatic","Petrol","","","Autoconnection -","See all 6 cars","https://www.autotrader.co.uk/dealers/east-sussex/uckfield/autoconnection-407529?channel=cars","5.0","Seller reviews","(34 reviews)","https://www.autotrader.co.uk/dealers/east-sussex/uckfield/autoconnection-407529?channel=cars#reviews","Uckfield","Dealer location","(127 miles)","https://m.atcdn.co.uk/dealer-logo/at2/adbranding/407529/images/searchlogo.gif",""
"https://m.atcdn.co.uk/a/media/w340h255/79636c13902d4b74be130b3436853529.jpg","59","https://m.atcdn.co.uk/a/media/w108h81/425f96c047bf4e76ac7db9cbf56e07a3.jpg","https://m.atcdn.co.uk/a/media/w108h81/a19a3a4471214dab91427046f5ff1c6e.jpg","https://m.atcdn.co.uk/a/media/w108h81/04c96392482e4a92b66baac0505d2dbf.jpg","£4,000","https://www.autotrader.co.uk/car-details/202311194102943?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche 924","2.5 S 2dr","Targa Top. 924s. Black","1986 (D reg)","Coupe","55,000 miles","2.5L","150BHP","Manual","Petrol","12 owners","Part service history","High Wycombe (74 miles)","","","","Location","","","","","","","Private seller"
"https://m.atcdn.co.uk/a/media/w340h255/490235cf577d4625b446be4a3c972afc.jpg","51","https://m.atcdn.co.uk/a/media/w108h81/aef17a21c1534cb29234037918a0a632.jpg","https://m.atcdn.co.uk/a/media/w108h81/d22d7ef0d95543b7b58df122297a79d3.jpg","https://m.atcdn.co.uk/a/media/w108h81/d2ca913ad439400a9b374ca7a26022e9.jpg","£3,500","https://www.autotrader.co.uk/car-details/202402136535468?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Cayenne","3.2 V6 Tiptronic S AWD 5dr","Drives Well |","2005 (05 reg)","SUV","147,000 miles","3.2L","250BHP","Automatic","Petrol","","","UP Prestige -","See all 54 cars","https://www.autotrader.co.uk/dealers/shropshire/bridgnorth/up-prestige-10033623?channel=cars","4.8","Seller reviews","(95 reviews)","https://www.autotrader.co.uk/dealers/shropshire/bridgnorth/up-prestige-10033623?channel=cars#reviews","Bridgnorth","Dealer location","(24 miles)","https://m.atcdn.co.uk/dealer-logo/at2/adbranding/10033623/images/searchlogo.gif",""
"https://m.atcdn.co.uk/a/media/w340h255/97d5215677e04bd3b283e4ef5144034b.jpg","12","https://m.atcdn.co.uk/a/media/w108h81/a04be5711f9e42acb2b7dc1279764990.jpg","https://m.atcdn.co.uk/a/media/w108h81/c9b6c277b5a24fbba42f121cd6691f82.jpg","https://m.atcdn.co.uk/a/media/w108h81/99861bc77c1846cd9b3320ae7b5c9e12.jpg","£4,300","https://www.autotrader.co.uk/car-details/202403037160798?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Boxster","","","2005 (05 reg)","Convertible","122,000 miles","Automatic","Petrol","5 owners","","","","Nottingham (72 miles)","","","","Location","","","","","","","Private seller"
"https://m.atcdn.co.uk/a/media/w340h255/54b3be977ee54283b221905d53b9cc61.jpg","28","https://m.atcdn.co.uk/a/media/w108h81/5b6895fb7712459fb37dd5903162b655.jpg","https://m.atcdn.co.uk/a/media/w108h81/d83fa223ab3a48a2905a14c7a8b96729.jpg","https://m.atcdn.co.uk/a/media/w108h81/cb21548c4ab94d0e8e3673ba279174b7.jpg","£7,995","https://www.autotrader.co.uk/car-details/202401165620162?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Boxster","2.7 987 2dr","BEAUTIFUL INSIDE AND OUT//WOW","2005 (05 reg)","Convertible","118,000 miles","2.7L","240BHP","Manual","Petrol","8 owners","","PX CARS LTD -","See all 131 cars","https://www.autotrader.co.uk/dealers/west-yorkshire/wakefield/px-cars-ltd-10028592?channel=cars","4.3","Seller reviews","(230 reviews)","https://www.autotrader.co.uk/dealers/west-yorkshire/wakefield/px-cars-ltd-10028592?channel=cars#reviews","Wakefield","Dealer location","(106 miles)","https://m.atcdn.co.uk/dealer-logo/at2/adbranding/10028592/images/searchlogo.gif",""
"https://m.atcdn.co.uk/a/media/w340h255/13e334963dfe4f1999947006fa206b5d.jpg","16","https://m.atcdn.co.uk/a/media/w108h81/5296ba00a86841988e88db9c84fbe2aa.jpg","https://m.atcdn.co.uk/a/media/w108h81/579d54348c6e4ed882c1e2b34d824752.jpg","https://m.atcdn.co.uk/a/media/w108h81/dbd98c6b0b16484097febe2d60c7c965.jpg","£3,995","https://www.autotrader.co.uk/car-details/202403057246065?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Cayenne","4.5 S Tiptronic S AWD 5dr","Great Value, 14 Stamps S/H","2003 (53 reg)","SUV","104,995 miles","4.5L","340BHP","Automatic","Petrol","3 owners","","Lsb Car Sales","","","","","","","Reading","Dealer location","(70 miles)","",""
"https://m.atcdn.co.uk/a/media/w340h255/6a7383ae1d5744288a43ec1e7845d1e9.jpg","49","https://m.atcdn.co.uk/a/media/w108h81/493f7777fc054f56a3671de4aad61d9d.jpg","https://m.atcdn.co.uk/a/media/w108h81/0cb114ff089248e898b949c4324f7c06.jpg","https://m.atcdn.co.uk/a/media/w108h81/bc6a3039add04568a6164b3db59e9952.jpg","£8,995","https://www.autotrader.co.uk/car-details/202402266971270?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Cayenne","3.0 TD V6 Tiptronic 4WD Euro 5 (s/s) 5dr","Air Suspension-Aux Heating-","2011 (11 reg)","SUV","153,055 miles","3.0L","240PS","Automatic","Diesel","","","Midlands Select Autos -","See all 8 cars","https://www.autotrader.co.uk/dealers/worcestershire/birmingham/midlands-select-autos-10039127?channel=cars","5.0","Seller reviews","(5 reviews)","https://www.autotrader.co.uk/dealers/worcestershire/birmingham/midlands-select-autos-10039127?channel=cars#reviews","Birmingham","Dealer location","(25 miles)","https://m.atcdn.co.uk/dealer-logo/at2/adbranding/10039127/images/searchlogo.gif","Lower price"
"https://m.atcdn.co.uk/a/media/w340h255/a0bc9276fdf945958c1b49cca7ae77f6.jpg","25","https://m.atcdn.co.uk/a/media/w108h81/c094da5f00764c11ac8fe507d3e9253d.jpg","https://m.atcdn.co.uk/a/media/w108h81/cac80c4986144cdbaa0bd588e1342c1f.jpg","https://m.atcdn.co.uk/a/media/w108h81/42ea1e6ddcfd41408570101967a25723.jpg","£5,999","https://www.autotrader.co.uk/car-details/202402297077511?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Boxster","2.5 986 2dr","77,000 FSH LAST OWNER 16 YEARS","1999 (T reg)","Convertible","77,000 miles","2.5L","204BHP","Manual","Petrol","6 owners","Full service history","Farnborough Car Sales -","See all 7 cars","https://www.autotrader.co.uk/dealers/hampshire/farnborough/farnborough-car-sales-19770?channel=cars","5.0","Seller reviews","(42 reviews)","https://www.autotrader.co.uk/dealers/hampshire/farnborough/farnborough-car-sales-19770?channel=cars#reviews","Farnborough","Dealer location","(91 miles)","https://m.atcdn.co.uk/dealer-logo/at2/adbranding/19770/images/searchlogo.gif",""
"https://m.atcdn.co.uk/a/media/w340h255/53479a1124fa47ddb358438b3f6467c5.jpg","20","https://m.atcdn.co.uk/a/media/w108h81/ce6deec5123843efaa52349559f79a4e.jpg","https://m.atcdn.co.uk/a/media/w108h81/a58b4c412efe4875a591346542729518.jpg","https://m.atcdn.co.uk/a/media/w108h81/34177d31bac54591980b3025004117e6.jpg","£3,750","https://www.autotrader.co.uk/car-details/202308120720696?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra","Porsche Boxster","3.2 986 S 2dr","PORSCHE BOXSTER 3.2s New Roof","2002 (02 reg)","Convertible","98,500 miles","3.2L","252BHP","Manual","Petrol","Part service history","","Doncaster (109 miles)","","","","Location","","","","Has ad video","","","Private seller"
