Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202312034515144?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Private seller,21500.0,4.3 V8 Sportshift Euro 4 2dr,Aston Martin V8 4.3 Vantage,2007.0,Coupe,64000.0,4.3L,385PS,Automatic,Unknown,5.0,"This Stunning Aston Martin V8 4.3 Vantage, Finished in Onyx Black With Obsidian Black Leather. Brilliant model specification. Factory Options Include, 19"" Alloys, Sat Nav, Bluetooth Telephone Prep, Xenon HID Headlamps, Audio System, Doors In Leather, Extended Leather & Red Stitching, Park Assist…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202401035223764?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Private seller,25750.0,4.3 V8 Sportshift Euro 4 2dr,Unknown,2007.0,Coupe,61000.0,4.3L,385PS,Automatic,Unknown,7.0,"Exterior: Meteorite Silver.   Interior: Bitter Chocolate fine leather.   Features: Premium sound system, navigation, climate control, and more.    Maintenance: Meticulously maintained and serviced, documented service history with Aston Martin. This also includes 4 new Bridgestone Potenza Tyres and…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202401075333904?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Private seller,23950.0,4.3 V8 Euro 4 2dr,Virtually showroom looks,2006.0,Coupe,57000.0,4.3L,385PS,Manual,Unknown,9.0,"Stunning looking, awesome sounding, low mileage and beautiful example of this amazing car. 57,000 miles. 5 months MOT. October 2006 registered. PLUS POINTS: Awesome sound due to upgraded aftermarket exhaust system. Incredible handling due to upgraded aftermarket lowered suspension. Power pack…"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311143938547?sort=relevance&twcs=true&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Finance available,29975.0,6.0 V12 T-TronicII Euro 4 2dr,"SERVICE HISTORY, APPLE PLAY",2009.0,Coupe,80000.0,6.0L,477PS,Automatic,Dealer locationYaxley,3.0,
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202312064601479?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Unknown,65990.0,4.0 V8 Auto Euro 6 (s/s) 2dr,360 CAM|MEMORY HEATED SEATS,2017.0,Coupe,33754.0,4.0L,510PS,Automatic,Dealer locationHarrogate,,"360 Surround View Camera with Integrated Reversing Camera, Electric Memory Heated and Cooled Front Seats, Privacy Glass, Easy Entry/Exit, Leather/Suede Cloth Headlining, Leather Multi-Function Steering Wheel with Shift Paddles, Cruise Control and Speed Limiter, Voice Control, Bluetooth, Satellite…"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401055270348?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Finance available,44975.0,6.0 V12 Carbon Edition T-TronicII Euro 5 2dr,Stunning Colours and Spec!!,2014.0,Coupe,48500.0,6.0L,517PS,Automatic,Dealer locationWillenhall,,All of our Williams Group used cars are carefully selected and purchased directly from the previous owner. Our vehicles are fully prepared with a very thorough health check and inspection.  A comprehensive warranty is available from an additional £995. -*VIEWING IS BY APPOINTMENT ONLY. PLEASE CALL…
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202311254287090?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Unknown,22989.0,4.3 V8 Euro 4 2dr,HUGE SERVICE HISTORY,2006.0,Coupe,90000.0,4.3L,380BHP,Manual,Dealer locationBayford,,"VIEWING BY APPOINTMENT ONLY, 01992511311 - 01992511295. HUGE DOCUMENTED SERVICE HISTORY,   N430 SIDE SKIRTS,  Buy with Confidence. The Hertford Car Company are a family Run business that prides itself on delivering an exceptional customer experience. FINANCE AVAILABLE ZERO DEPOSIT, Drive away…"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401025195630?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Approved used,32450.0,5.9 Seq 2dr,LOVED&CHERISED BY 1ST KEEPER,2008.0,Coupe,26980.0,5.9L,450BHP,Automatic,Dealer locationHatfield,,"An Amazing 1 Owner From New! DB9 Coupe Which Has Been Very Well Looked After And Finished In Meteorite Silver With Obsidian Black Interior With Falcon Grey Stitching. This car comes with: High Spec Alarm, Brake Calipers - Silver, Piano Black Veneer, Optional Front Grille, Front Parking Sensors…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202311284376330?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Private seller,31000.0,4.3 V8 Roadster Euro 4 2dr,Unknown,2007.0,Convertible,49149.0,4.3L,385PS,Manual,Unknown,4.0,"Manual transmission. This car has a full service history with most recent having taken place in May at which time new brake pads and discs were also fitted. 12 months MOT. Viewing welcomed. Next MOT due 12/05/2024, Black, 4 owners, £31,000"
Aston Martin Cygnet,https://www.autotrader.co.uk/car-details/202309242310245?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Unknown,34995.0,1.3 VVT Launch Edition CVT Euro 5 3dr,"IMMACULATE ,1 OWNER",2012.0,Hatchback,25500.0,1.3L,98PS,Automatic,Dealer locationStoke Poges,1.0,"VERY COLLECTABLE ,NOT MULTIPLE USERS ,RARE  1 OWNER EXAMPLE .Excellent condition throughout ! ONLY £35 ROAD TAX .Finished in Black bear Met. with Sahara beige perforated leather a great colour combination ASTON MARTIN   service history .EXTRAS  WHEN NEW :£245 Dark Chrome/Piano Black Trim, £245 Door…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202309151997401?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Finance available,74850.0,4.0 V8 Auto Euro 6 2dr,Aston Martin Premium Audio,2019.0,Coupe,16962.0,4.0L,510PS,Automatic,Dealer locationSolihull,4.0,"Last serviced on 28/04/2023 at 16,356 miles, Full dealership history, Black Full leather interior, Metallic Magnetic Silver, 4 owners, Rybrook has over 70 years experience in the prestige car industry, £74,850"
Aston Martin Cygnet,https://www.autotrader.co.uk/car-details/202311113864494?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Finance available,32975.0,1.3 VVT CVT Euro 5 3dr,"Less than 100 in the UK, 1 Own",2014.0,Hatchback,35000.0,1.3L,97BHP,Automatic,Dealer locationNottingham,,"The Spec on this 2014 Aston Martin Cygnet Includes: Out of Range Paint Option in Stratus White, Silver Contrast Stitching Throughout, Obsidian Black Leather Interior Trim, Grey Blend Alcantara Headlining, Gloss Black Bonnet Lourves, Satin Chrome with Piano Fittings, Body Colour Rear Diffuser Blade…"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202309292489140?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Unknown,32980.0,5.9 Seq 2dr,*STUNNING COLOUR COMBINATION*,2008.0,Coupe,15711.0,5.9L,450BHP,Automatic,Dealer locationHigh Wycombe,,"Daimler Benz of Buckinghamshire are please to present this amazing ASTON MARTIN DB9 5.9 V12 Finished in BLUE SAPHIIRE METALLIC PAINT and upholstered in FULL IVORY AND NAVY PERFORATED Leather. This amazing car comes FULLY SERVICED and with 12 MONTHS MOT, 12 MONTHS WARRANTY and has a FULL SERVICE…"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202310203181301?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Unknown,21950.0,5.9 Seq 2dr,EXCELLENT VALUE DB9 BEAUTIFUL!,2005.0,Coupe,77000.0,5.9L,450BHP,Automatic,Dealer locationBournemouth,,WHAT A CAR!!!IN SILVER WITH RED LEATHER SAT NAV FSH......LOOKS AND SOUNDS AMAZING SUCH A BEAUTIFUL CAR FOR A SENSIBLE PRICE!!!! HOME DELIVERY AND WALK ROUND VIDEOS AVAILABLE ON REQUEST!!!!!!!!FINANCE AVAILABLE ONLINE Low rate finance available!! click on our website and car to apply its easy and…
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202309151997401?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Finance available,74850.0,4.0 V8 Auto Euro 6 2dr,Aston Martin Premium Audio,2019.0,Coupe,16962.0,4.0L,510PS,Automatic,Dealer locationSolihull,4.0,"Last serviced on 28/04/2023 at 16,356 miles, Full dealership history, Black Full leather interior, Metallic Magnetic Silver, 4 owners, Rybrook has over 70 years experience in the prestige car industry, £74,850"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202306138465795?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Finance available,64990.0,6.0 V12 S Sportshift Euro 6 2dr,FULL ASTON SERVICING|HUGE SPEC,2016.0,Coupe,40800.0,6.0L,573PS,Automatic,Dealer locationBristol,,"IMOLA OF BRISTOL ARE DELIGHTED TO PRESENT THIS STUNNING ASTON MARTIN 6.0 V12 VANTAGE 'S' SPORTSHIFT - PRESENTED IN METALLIC METEORITE  GREY EXTERIOR WITH CONTRAST OBSIDIAN BLACK LEATHER INTERIOR - THIS BESPOKE VEHICLE IS COMPLIMENTED BY THE MOST SUPERB SPECIFICATION - INCLUDING:;, --- Aston Martin…"
Aston Martin Rapide,https://www.autotrader.co.uk/car-details/202311244262952?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Finance available,34999.0,6.0 V12 T-TronicII Euro 5 4dr,Unknown,2010.0,Saloon,25000.0,6.0L,470BHP,Automatic,Dealer locationGolders Green,,"Next MOT due 25/10/2024, Silver, £34,999"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202401175647292?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Unknown,48990.0,4.7 V8 Sportshift II Euro 5 2dr,ELEC SPORTS SEATS|COBALT BLUE,2015.0,Coupe,9673.0,4.7L,426PS,Automatic,Dealer locationHarrogate,,"Bluetooth, Satellite Navigation, Finished in Special Cobalt Blue Paint with Black Leather Interior on 19“ Alloys. Satin Grey Interior Trims, Aluminium Kick Plates with Aston Martin Badging, Power Folding Mirrors, Electric Front Sports Seats, Gloss Interior Trims, Rear Parking Sensors, Leather…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202308281273436?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Private seller,26750.0,4.3 V8 Euro 4 2dr,Sports Exhaust Carbon Diffuser,2006.0,Coupe,63300.0,4.3L,385PS,Manual,Unknown,2.0,"Sports Exhaust (Sounds Amazing!), Clear Lights, Carbon Fibre Splitter, Carbon Fibre Diffuser, FSH. Private Registration will be put on retention prior to sale. Next MOT due 06/12/2024, Full service history, Silver, 2 owners, £26,750"
