Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners
Jaguar E-PACE,https://www.autotrader.co.uk/car-details/202401245853760?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Finance available,40750.0,2.0 D204 MHEV R-Dynamic SE Black Auto AWD Euro 6 (s/s) 5dr,*£1980 IN UPGRADED EQUIPMENT*,2023.0,SUV,,2.0L,201BHP,Automatic,Diesel,1.0
Jaguar XF,https://www.autotrader.co.uk/car-details/202403067290253?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Finance available,6195.0,2.2d Sport Auto Euro 5 (s/s) 4dr,PARKING SENSORS SVC HISTORY,2013.0,Saloon,,2.2L,200PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402026144867?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Unknown,3500.0,2.7d V6 Premium Luxury Auto Euro 4 4dr,NATIONWDE DELVRY + OLD CAR PX,2009.0,Saloon,,2.7L,207PS,Automatic,Diesel,
Jaguar XK8,https://www.autotrader.co.uk/car-details/202402126492601?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Unknown,2500.0,4.2 Premium 2dr,4.2 Premium - Read Advert,2003.0,Coupe,,4.2L,300BHP,Automatic,Petrol,
Jaguar XF,https://www.autotrader.co.uk/car-details/202401235835727?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Unknown,2350.0,2.7d V6 Premium Luxury Auto Euro 4 4dr,JUST ARRIVED,2008.0,Saloon,,2.7L,207PS,Automatic,Diesel,
Jaguar S-Type,https://www.autotrader.co.uk/car-details/202402226836671?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Unknown,1695.0,2.7D V6 SE 4dr,Part ex to clear,2007.0,Saloon,,2.7L,206BHP,Manual,Diesel,
Jaguar XE,https://www.autotrader.co.uk/car-details/202309111825072?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Finance available,5995.0,2.0d Portfolio Auto AWD Euro 6 (s/s) 4dr,"HPI CLEAR, One Owner,NO OFFERS",2017.0,Saloon,,2.0L,180PS,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202402266971262?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Unknown,1989.0,2.2D SE 5dr,FULL MOT- HPI CLEAR- DELIVERY,2005.0,Estate,,2.2L,152BHP,Manual,Diesel,
Jaguar S-Type,https://www.autotrader.co.uk/car-details/202402196723645?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Unknown,1495.0,2.7D V6 SE 4dr,JULY24MOT++HISTORY+,2006.0,Saloon,,2.7L,206BHP,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202403027127864?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Unknown,3995.0,2.2d Sport Auto Euro 5 (s/s) 4dr,FULL SERVICE HISTORY,2013.0,Saloon,,2.2L,200PS,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202402136548145?sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Unknown,2500.0,2.0D SE 4dr,NATIONWIDE DELVRY + OLD CAR PX,2008.0,Saloon,,2.0L,128BHP,Manual,Diesel,
Jaguar E-PACE,https://www.autotrader.co.uk/car-details/202403067265924?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Finance available,24990.0,2.0 P200 R-Dynamic S Auto AWD Euro 6 (s/s) 5dr,"NAV, REAR CAMERA, SUNROOF",2020.0,SUV,,2.0L,197BHP,Automatic,Petrol,1.0
Jaguar XF,https://www.autotrader.co.uk/car-details/202402226820039?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&fromsra,Finance available,38000.0,2.0 P250i R-Dynamic HSE Auto Euro 6 (s/s) 4dr,"SLIDING PANORAMIC ROOF,PRIVACY",2023.0,Saloon,,2.0L,247BHP,Automatic,Petrol,1.0
,https://www.autotrader.co.uk/cars/leasing/product/202307059333975?leaseOption=12_48_5000&advertising-location=at_cars&make=Jaguar&postcode=WR3%207AE&sort=relevance&fromsra,Lease deal,420.0,2.0 D200 MHEV R-Dynamic S Auto Euro 6 (s/s) 4dr,Subject to status and conditions.,,Unknown,,Unknown,Unknown,,Unknown,
Jaguar E-PACE,https://www.autotrader.co.uk/car-details/202401295996430?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Finance available,35750.0,2.0 D204 MHEV R-Dynamic HSE Auto AWD Euro 6 (s/s) 5dr,"11.4"" SCREEN / CAR PLAY",2022.0,SUV,,2.0L,201BHP,Automatic,Diesel,1.0
Jaguar XE,https://www.autotrader.co.uk/car-details/202402297078376?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Finance available,4995.0,2.0d R-Sport Euro 6 (s/s) 4dr,Unknown,2015.0,Saloon,,2.0L,163PS,Manual,Diesel,1.0
Jaguar XF,https://www.autotrader.co.uk/car-details/202402106436460?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,2750.0,3.0d S V6 Luxury Auto Euro 5 4dr,H/Leather+Sat/Nav Cam,2010.0,Saloon,,3.0L,275PS,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202403067280140?sort=relevance&twcs=true&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,5000.0,2.2D DPF SE 4dr,2 OWNERS + FULL HISTORY,2009.0,Saloon,,2.2L,143BHP,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402176685466?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,3000.0,3.0d V6 Premium Luxury Auto Euro 5 4dr,"LIVE VIDEO,NATIONWIDE DELIVERY",2009.0,Saloon,,3.0L,240PS,Automatic,Diesel,
Jaguar S-Type,https://www.autotrader.co.uk/car-details/202312094681017?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,850.0,3.0 V6 SE 4dr,MOT FAILED - TOO GOOD TO SCRAP,2000.0,Saloon,,3.0L,240BHP,Automatic,Petrol,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402016137236?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,2500.0,2.7d V6 Luxury Auto Euro 4 4dr,Sophisticated Drive,2009.0,Saloon,,2.7L,204BHP,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202403027141045?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,895.0,2.1 Classic 4dr,PX To Clear,2003.0,Saloon,,2.1L,157BHP,Manual,Petrol,
Jaguar S-Type,https://www.autotrader.co.uk/car-details/202402186694433?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,1500.0,3.0 V6 SE 4dr,JAGUAR SERVICE HISTORY,1999.0,Saloon,,3.0L,240BHP,Automatic,Petrol,
Jaguar XF,https://www.autotrader.co.uk/car-details/202403047205739?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,2500.0,3.0d V6 Premium Luxury Auto Euro 5 4dr,Part exchange to clear,2012.0,Saloon,,3.0L,240PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202312225019502?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Unknown,3489.0,3.0d V6 Luxury Sportbrake Auto Euro 5 (s/s) 5dr,LONG MOT- AUTO- HPI CLEAR,2013.0,Estate,,3.0L,240PS,Automatic,Diesel,
Jaguar F-PACE,https://www.autotrader.co.uk/car-details/202402126499844?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Finance available,20295.0,2.0 P250i R-Sport Auto AWD Euro 6 (s/s) 5dr,Full Service History,2019.0,SUV,,2.0L,250PS,Automatic,Petrol,
Jaguar I-PACE,https://www.autotrader.co.uk/car-details/202402297051981?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Finance available,44190.0,400 90kWh HSE Black Auto 4WD 5dr,HEAD UP DISPLAY - BLACK ALLOYS,2023.0,SUV,,395BHP,Automatic,Electric,1 owner,
,https://www.autotrader.co.uk/cars/leasing/product/202307059333976?leaseOption=12_48_8000&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&sort=relevance&fromsra,Lease deal,458.0,2.0 D200 MHEV R-Dynamic SE Black Auto Euro 6 (s/s) 4dr,Subject to status and conditions.,,Unknown,,Unknown,Unknown,,Unknown,
Jaguar E-PACE,https://www.autotrader.co.uk/car-details/202401255896980?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Finance available,35900.0,2.0 D204 MHEV R-Dynamic HSE Auto AWD Euro 6 (s/s) 5dr,"HEATED STEERING WHEEL, PRIVACY",2022.0,SUV,,2.0L,201BHP,Automatic,Diesel,1.0
Jaguar XF,https://www.autotrader.co.uk/car-details/202402196724458?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Unknown,3395.0,3.0d V6 Premium Luxury Auto Euro 5 4dr,SEPT24MOT++3KEYS++HISTORY,2009.0,Saloon,,3.0L,240PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402216799018?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Unknown,2000.0,2.7d V6 Luxury Auto Euro 4 4dr,"PX TO CLEAR, CALL FOR DETAILS",2008.0,Saloon,,2.7L,Automatic,Diesel,Unknown,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202312245041868?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Unknown,1700.0,2.0D S 4dr,px to clear,2008.0,Saloon,,2.0L,128BHP,Manual,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202403027151609?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Unknown,3000.0,2.7d V6 Luxury Auto Euro 4 4dr,AUTOMATIC/ FSH,2008.0,Saloon,,2.7L,207PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202309292493594?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Unknown,2000.0,3.0d S V6 Portfolio Auto Euro 5 4dr,Please read advert in full,2010.0,Saloon,,3.0L,275PS,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202402297067430?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Unknown,1290.0,2.1 Classic 4dr,BUNDLE OF PAPERWORK+NICE CLEAN,2002.0,Saloon,,2.1L,157BHP,Manual,Petrol,
Jaguar S-Type,https://www.autotrader.co.uk/car-details/202310263351012?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Finance available,1790.0,3.0 V6 Sport 4dr,CLEAN EXAMPLE. PLEASE READ,2005.0,Saloon,,3.0L,240BHP,Automatic,Petrol,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202106163872272?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Unknown,1000.0,2.0D SE 4dr,* MOT FAILURE *,2008.0,Saloon,,2.0L,128BHP,Manual,Diesel,
Jaguar XJ,https://www.autotrader.co.uk/car-details/202403047209791?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Private seller,4950.0,3.0d V6 Portfolio Auto Euro 6 (s/s) 4dr (LWB),New engine needed - Non runner,2016.0,Saloon,,3.0L,300PS,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202403017099967?sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Unknown,1695.0,2.0D Sport 5dr,2004 CAR REGISTERED 2007 IN UK,2004.0,Estate,,2.0L,128BHP,Manual,Diesel,
Jaguar F-PACE,https://www.autotrader.co.uk/car-details/202401175634360?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Finance available,21490.0,2.0 P250i Portfolio Auto AWD Euro 6 (s/s) 5dr,REAR COMFORT PACK+PAN ROOF!!,2017.0,SUV,,2.0L,250PS,Automatic,Petrol,
Jaguar E-PACE,https://www.autotrader.co.uk/car-details/202402226820038?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&fromsra,Finance available,42000.0,2.0 D204 MHEV R-Dynamic S Auto AWD Euro 6 (s/s) 5dr,"BLACK PACK, PRIVACY GLASS",2023.0,SUV,,2.0L,201BHP,Automatic,Diesel,1.0
,https://www.autotrader.co.uk/cars/leasing/product/202307059333974?leaseOption=12_48_8000&advertising-location=at_cars&make=Jaguar&page=3&postcode=WR3%207AE&sort=relevance&fromsra,Lease deal,485.0,2.0 D200 MHEV R-Dynamic HSE Black Auto Euro 6 (s/s) 4dr,Subject to status and conditions.,,Unknown,,Unknown,Unknown,,Unknown,
Jaguar E-PACE,https://www.autotrader.co.uk/car-details/202401255896980?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Finance available,35900.0,2.0 D204 MHEV R-Dynamic HSE Auto AWD Euro 6 (s/s) 5dr,"HEATED STEERING WHEEL, PRIVACY",2022.0,SUV,,2.0L,201BHP,Automatic,Diesel,1.0
Jaguar XF,https://www.autotrader.co.uk/car-details/202402226822357?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Unknown,2499.0,3.0d V6 Luxury Auto Euro 5 4dr,12 MONTH MOT. GOOD SPEC,2011.0,Saloon,,3.0L,240PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202401225804406?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Unknown,2489.0,2.7d V6 Luxury Auto Euro 4 4dr,1 OWNER- FULL HISTORY- HPI,2008.0,Saloon,,2.7L,207PS,Automatic,Diesel,1.0
Jaguar XF,https://www.autotrader.co.uk/car-details/202309242325261?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Private seller,3999.0,2.2d R-Sport Black Auto Euro 5 (s/s) 4dr,Just been serviced and MOT,2015.0,Saloon,,2.2L,200PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402266946760?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Unknown,2300.0,3.0d V6 Portfolio Auto Euro 5 4dr,(TAKEN IN P/X AND TO CLEAR),2011.0,Saloon,,3.0L,240PS,Automatic,Diesel,
Jaguar S-Type,https://www.autotrader.co.uk/car-details/202403017121146?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Unknown,795.0,2.5 V6 SE 4dr,CHEAP P/EX TO CLEAR NEW MOT,2003.0,Saloon,,2.5L,201BHP,Automatic,Petrol,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402216788426?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Unknown,4495.0,3.0d V6 Premium Luxury Auto Euro 5 4dr,YEAR MOT+10 SERVICES+2 OWNR+V6,2010.0,Saloon,,3.0L,240PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402136518269?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Finance available,5700.0,2.2d R-Sport Auto Euro 5 (s/s) 4dr,DIESEL AUTO LEATHER SAT NAV,2014.0,Saloon,,2.2L,163PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202401185681708?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Unknown,2495.0,2.7d V6 Luxury Auto Euro 4 4dr,3/6 months warranty available,2008.0,Saloon,,2.7L,207PS,Automatic,Diesel,
Jaguar S-Type,https://www.autotrader.co.uk/car-details/202403027149038?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Unknown,2395.0,2.7D V6 SE 4dr,1OWNER+2KEYS+HISTORY+DEC24MOT+,2006.0,Saloon,,2.7L,206BHP,Automatic,Diesel,1.0
Jaguar XE,https://www.autotrader.co.uk/car-details/202403027149390?sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Unknown,3599.0,2.0d Portfolio Auto Euro 6 (s/s) 4dr,Needs engine,2016.0,Saloon,,2.0L,163PS,Automatic,Diesel,
Jaguar E-PACE,https://www.autotrader.co.uk/car-details/202403057244480?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Finance available,22990.0,2.0 P200 R-Dynamic Auto AWD Euro 6 (s/s) 5dr,"REAR CAMERA, HEATED SEATS",2021.0,SUV,,2.0L,197BHP,Automatic,Petrol,1.0
