Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail,Predicted_Price,Price_Diff_Percent
Aston Martin Cygnet,https://www.autotrader.co.uk/car-details/202309242310245?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=1&postcode=wr117jh&fromsra,Unknown,34995.0,1.3 VVT Launch Edition CVT Euro 5 3dr,"IMMACULATE ,1 OWNER",2012.0,Hatchback,25500.0,1.3L,98PS,Automatic,Dealer locationStoke Poges,1.0,"VERY COLLECTABLE ,NOT MULTIPLE USERS ,RARE  1 OWNER EXAMPLE .Excellent condition throughout ! ONLY £35 ROAD TAX .Finished in Black bear Met. with Sahara beige perforated leather a great colour combination ASTON MARTIN   service history .EXTRAS  WHEN NEW :£245 Dark Chrome/Piano Black Trim, £245 Door…",45846.715,31.009329904272033
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202212132487581?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=46&postcode=wr117jh&fromsra,Unknown,35950.0,5.9 Vantage 2dr,"FSH, timeless spec",2003.0,Coupe,41550.0,5.9L,420BHP,Automatic,Dealer locationBeamish,3.0,"Unveiled to the world at the 1999 Geneva Motor Show, the upgraded Vantage spec DB7 represented the finest quality in hand-built luxury sports cars. This 2003 model, finished in Tungsten Silver metallic over Ivory leather, has had only three owners from new and has covered 41,550 miles. The 6.0…",45847.115,27.530222531293457
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202309202174946?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=67&postcode=wr117jh&fromsra,Unknown,39950.0,3.2 2dr,RARE i6 - JUST 17K MILES!,1999.0,Coupe,17000.0,3.2L,335BHP,Automatic,Dealer locationEdinburgh,,"A superb and rare example of the i6, which must surely be one of the lowest mileage cars in existence. Previously supplied by myself in 2016 at 14k miles. Finished in Solent Silver. Due in soon. Please enquire. (Registration excluded) May P/X , Silver, £39,950",45846.715,14.76023779724655
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202401125485698?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=46&postcode=wr117jh&fromsra,Private seller,33950.0,"5.9 V12 Vantage Coupe 2dr Petrol (450 g/km, 420 bhp)",RARE DERWENT GREEN  -  5.9 V12,2000.0,Coupe,23500.0,5.9L,Automatic,Petrol,Unknown,,"First Registered 11th May 2000 supplied by Porterfield Sports & Classics in Chichester. Derwent Green Metallic with Magnolia/Green Leather. 2 owners from new, current since 2011. Cherished example, garaged under a tailored cover from new. 23,500 documented miles with full service history from AM…",45705.775,34.62673048600884
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202207308291549?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=58&postcode=wr117jh&fromsra,Private seller,37950.0,5.9 Volante 2dr,"AMOC owner, always garaged",2002.0,Convertible,27225.0,5.9L,420BHP,Automatic,Unknown,3.0,"First registered: 8th November 2002 to HWM Motors Ltd (oldest Aston Martin dealer), as a demonstrator, Second owner 22nd January, 2003, Third owner 20th, May 2004, Current owner 14th July 2006. Service History: PDI  01/01/2003  0 mile  HWM Motors Ltd; 1000 mile service  13/01/2003  819 miles  HWM…",47144.705,24.228471673254287
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202401145549325?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=74&postcode=wr117jh&fromsra,Private seller,35000.0,5.9 Vantage 2dr,Mendip Blue/Tan/Tan Alcantara,2002.0,Coupe,48700.0,5.9L,420BHP,Automatic,Unknown,4.0,"VEHICLE DETAILS Model: DB7 Vantage Coupe, Built: 2002, Engine:V12, 5935 cc, 420 bhp, 0-60: 5 seconds, Top speed: 165 mph, Gearbox: Touchtronic, Exterior Colour:  Mendip Blue, Previous Owners: 4, Number left in UK: 366, INTERIOR TRIM Headlining Inner: Tan Alcantara, Carpet Colour: Blue OPTIONS…",45871.25,31.060714285714287
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=6&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=8&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=16&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
