Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail,Price_Difference
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202401135521171?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=67&postcode=wr117jh&fromsra,Approved used,105000.0,6.0 V12 S Roadster Sportshift Euro 5 2dr,Unknown,2016.0,Convertible,14500.0,6.0,565BHP,Automatic,Dealer locationNottingham,2.9514348785871967,Lightweight Wheels In Satin Black | Brake Callipers In Red | Exterior Carbon Pack | Exterior Graphic Colour In Jet Black | Fit V12 Vantage S Badge | Side Window Finisher In Black | Black Bezel Headlamps | Carbon Front Grille | Tailpipe Finisher In Textured Black | Trim Inlay In Piano Black | Sports…,19523.84074007938
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202312064601479?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=85&postcode=wr117jh&fromsra,Unknown,65990.0,4.0 V8 Auto Euro 6 (s/s) 2dr,360 CAM|MEMORY HEATED SEATS,2017.0,Coupe,33754.0,4.0,510PS,Automatic,Dealer locationHarrogate,2.9514348785871967,"360 Surround View Camera with Integrated Reversing Camera, Electric Memory Heated and Cooled Front Seats, Privacy Glass, Easy Entry/Exit, Leather/Suede Cloth Headlining, Leather Multi-Function Steering Wheel with Shift Paddles, Cruise Control and Speed Limiter, Voice Control, Bluetooth, Satellite…",18853.406364538227
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202304196439636?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=88&postcode=wr117jh&fromsra,Finance available,52850.0,4.7 V8 Roadster Sportshift II Euro 6 2dr,2016 HAPTIC DASH FACELIFT CAR,2016.0,Convertible,33800.0,4.7,426PS,Automatic,Dealer locationKineton,2.9514348785871967,"Supplied by Amersham in February 2016 this latest ‘Haptic Dash’ Vantage looks stunning., Finished in Stratus White over Obsidian Leather this pristine example has been thoughtfully finished with the following options:, Black Front Grille, Black Bezel Headlamps, Piano Wood Trim and Black Trim Pack…",17654.59415133475
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401025195630?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=47&postcode=wr117jh&fromsra,Approved used,32450.0,5.9 Seq 2dr,LOVED&CHERISED BY 1ST KEEPER,2008.0,Coupe,26980.0,5.9,450BHP,Automatic,Dealer locationHatfield,2.9514348785871967,"An Amazing 1 Owner From New! DB9 Coupe Which Has Been Very Well Looked After And Finished In Meteorite Silver With Obsidian Black Interior With Falcon Grey Stitching. This car comes with: High Spec Alarm, Brake Calipers - Silver, Piano Black Veneer, Optional Front Grille, Front Parking Sensors…",17535.987426948064
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401025195630?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=9&postcode=wr117jh&fromsra,Approved used,32450.0,5.9 Seq 2dr,LOVED&CHERISED BY 1ST KEEPER,2008.0,Coupe,26980.0,5.9,450BHP,Automatic,Dealer locationHatfield,2.9514348785871967,"An Amazing 1 Owner From New! DB9 Coupe Which Has Been Very Well Looked After And Finished In Meteorite Silver With Obsidian Black Interior With Falcon Grey Stitching. This car comes with: High Spec Alarm, Brake Calipers - Silver, Piano Black Veneer, Optional Front Grille, Front Parking Sensors…",17063.342423881666
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202309151997401?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=39&postcode=wr117jh&fromsra,Finance available,74850.0,4.0 V8 Auto Euro 6 2dr,Aston Martin Premium Audio,2019.0,Coupe,16962.0,4.0,510PS,Automatic,Dealer locationSolihull,4.0,"Last serviced on 28/04/2023 at 16,356 miles, Full dealership history, Black Full leather interior, Metallic Magnetic Silver, 4 owners, Rybrook has over 70 years experience in the prestige car industry, £74,850",16771.860498015856
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202401205740575?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=56&postcode=wr117jh&fromsra,Finance available,86950.0,4.0 V8 Volante Auto Euro 6 (s/s) 2dr,VENT SEAT|LUX+TECH PACK|1OWNER,2018.0,Convertible,11591.0,4.0,503BHP,Automatic,Dealer locationChichester,1.0,Harwoods Aston Martin are delighted to present this stunning one owner DB11 Volante V8 as part of our Timeless Pre-Owned Stock holding. The exterior has been finished in Ultramarine Black AML Special Metallic paint over Dark Knight and Cream Truffle Duotone Caithness Leather with Dark Knight…,15933.305005952396
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202312285089347?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=41&postcode=wr117jh&fromsra,Approved used,142990.0,4.7 V8 GT8 Euro 6 2dr,Halo-Stirling Green - 1 of 150,2017.0,Coupe,16230.0,4.7,440BHP,Manual,Dealer locationBristol,3.0,"Pure Black Alcantara interior, Green, 3 owners, Aston Martin Timeless Certified Pre-Owned, £142,990",15921.614245129807
Aston Martin Vanquish,https://www.autotrader.co.uk/car-details/202305267801210?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=77&postcode=wr117jh&fromsra,Unknown,94990.0,5.9 S 2dr,JUST 3 OWNERS FROM NEW,2004.0,Coupe,26000.0,5.9,520BHP,Automatic,Dealer locationCranbrook,3.0,"VVS are pleased to offer this 3 owner 2004/54 Aston Martin Vanquish S finished in special order Bowland Black with full Obsidian Black leather interior. This example comes with 2+2 configuration, Fully electrically adjustable and heated front seats, Heated windscreen, Climate control, Cruise…",15776.501625901903
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202303295753355?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=53&postcode=wr117jh&fromsra,Finance available,79995.0,5.2 V12 Auto Euro 6 (s/s) 2dr,FIRST EDITION LOW MILES,2017.0,Coupe,9980.0,5.2,600BHP,Automatic,Dealer locationShipley,2.9514348785871967,"A beautiful  low mileage  example of this model. Supplied with full  ASTON History  And Nationwide Warranty . For after hours enquirers, Please call on 07810 805870. Motorhouse of Shipley established in 1994 a family run business suppliers of fine hand picked vehicles., Nationwide Delivery…",15711.555086760462
