Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail,Price_Difference
Aston Martin Vanquish,https://www.autotrader.co.uk/car-details/202311063696031?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=13&postcode=wr117jh&fromsra,Finance available,69900.0,6.0 V12 T-TronicII Euro 5 2dr,CERAMIC GREY! FULL PPF!,2013.0,Coupe,33727.0,6.0,565BHP,Automatic,Dealer locationLondon,2.9514348785871967,Western Avenue Aston Martin are delighted to present this STUNNING Aston Martin Vanquish 6.0 V12 T-TronicII Euro 5 2dr (2+2) COUPE as part of our Timeless Pre-Owned Stock holding. The vehicle has been finished in the Exterior colour CERAMIC GREY with the interior in OBSIDIAN BLACK LEATHER and…,-19999.194831349232
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202312064586724?sort=relevance&twcs=true&advertising-location=at_cars&make=Aston%20Martin&page=81&postcode=wr117jh&fromsra,Finance available,122950.0,4.0 V8 F1 Edition Auto Euro 6 2dr,SATIN AMR GREEN | SERVICE PACK,2021.0,Coupe,3000.0,4.0,535PS,Automatic,Dealer locationBoroughbridge,2.9514348785871967,,-19885.352871031762
Aston Martin Rapide,https://www.autotrader.co.uk/car-details/202310183118164?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=85&postcode=wr117jh&fromsra,Unknown,31995.0,6.0 V12 T-TronicII Euro 5 4dr,Full AMSH,2011.0,Saloon,67000.0,6.0,477PS,Automatic,Dealer locationKnutsford,2.9514348785871967,"For sale we have this Aston Martin Rapide, finished in Tungsten silver and a black leather interior. Benefitting from a full aston martin service history, this vehicle features many desirable options including heated/cooling electric memory seats, rear entertainment, Bang & Olufsen sound…",-19467.31457142852
Aston Martin DBS,https://www.autotrader.co.uk/car-details/202312214974848?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=91&postcode=wr117jh&fromsra,Finance available,139850.0,5.2 V12 BiTurbo Superleggera Auto Euro 6 (s/s) 2dr,CARBON ROOF STUNNING CAR!!,2019.0,Coupe,14200.0,5.2,725PS,Automatic,Dealer locationKineton,2.9514348785871967,"McGurk Performance Cars are delighted to offer this DBS Superleggera finished in Skyfall Silver over Obsidian Leather. The car was first registered in March 2019 and has the following specification:-, 20” Alloy Wheels, Carbon Fire Roof, Carbon Mirro Caps, Satellite Navigation, Bluetooth, Heated and…",-17977.185476190454
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202312275076247?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=13&postcode=wr117jh&fromsra,Private seller,25900.0,4.3 3dr,Unknown,2008.0,Coupe,39500.0,4.3,Automatic,Petrol,Unknown,2.9514348785871967,"2008, Aston Martin vantage sports shift 39,500 miles in excellent condition, private seller. Onyx black, with black leather interior, owned for 4 years, full dealer / specialist service history, no expense spared, most recently at Aston Martin Brentwood for mot and service on the 22 August 2023…",-17743.919827380974
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=7&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",-16824.77189682539
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202309162046112?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=46&postcode=wr117jh&fromsra,Approved used,132950.0,4.0 V8 F1 Edition Auto Euro 6 2dr,One Owner|Front End PPF,2022.0,Coupe,2550.0,4.0,528BHP,Automatic,Dealer locationCheltenham,1.0,Aston Martin Cheltenham are delighted to offer for sale this Aston Martin Vantage F1 Coupe. This particular Aston Martin is finished in Aston Martin Racing Green with an Onyx Black Leather and Phantom Grey Alcantara Interior and Lime Green and Phantom Grey Stitching. This vehicle comes equipped…,-16672.615249999988
Aston Martin Vanquish,https://www.autotrader.co.uk/car-details/202401105417192?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=45&postcode=wr117jh&fromsra,Approved used,107000.0,6.0 V12 S T-TronIII Euro 6 2dr,ALL EXTERIOR CARBON PACKS!,2017.0,Coupe,32102.0,5.9,595BHP,Automatic,Dealer locationLeeds,2.9514348785871967,"Aston Martin Leeds are delighted to present this simply superb Volcano Red Aston Martin Vanquish S with Ivory Leather and Contemporary Ivory Alcantara Headlining.  This Vanquish is clearly a  ""no expense spared"" example and  has a fantastic contemporary look. This beautiful Aston Martin Vanquish S…",-16398.987302849942
Aston Martin DBX,https://www.autotrader.co.uk/car-details/202303044883748?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=81&postcode=wr117jh&fromsra,Finance available,150000.0,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr,"23"" Alloy Upgrade|Wrapped|VATQ",2022.0,SUV,4265.0,4.0,542BHP,Automatic,Dealer locationWallsend,1.0,Aston Martin Newcastle are proud to offer this stunning VAT Qualifying Aston Martin DBX V8 550 5dr Touch-Tronic finished in a 3M Satin Grey Wrap. With Onyx Black Leather with Electron Yellow Stitch. This car comes with the peace of mind of being supplied under the 'Timeless' Aston Martin Warranty…,-16202.955097222235
Aston Martin Vanquish,https://www.autotrader.co.uk/car-details/202210120653420?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=38&postcode=wr117jh&fromsra,Finance available,79995.0,6.0 V12 Volante T-TronicII Euro 5 2dr,CARBON PACK SPORTS EXHAUST B&O,2014.0,Convertible,28000.0,6.0,565BHP,Automatic,Dealer locationShipley,2.9514348785871967,"A beautiful  low mileage example (£215,075.00 LIST PRICE). Supplied with Aston Martin Service History  JUST  SERVICED BY ASTON MARTIN LEEDS DEC 2023  Nationwide Warranty Provided ANY INSPECTION WELCOME NO MORE TIMEWASTWES OR DREAMERS PLEASE GENIUNE BUYERS  ONLY . For after hours enquirers, Please…",-15818.544255952394
