Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Price_Difference
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202403147549453?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=7&postcode=WR3%207AE&fromsra,Finance available,68900.0,6.0 V12 S Sportshift Euro 5 2dr,Great Specification.,2014.0,Coupe,30800.0,6.0,565BHP,Automatic,Petrol,3.191740412979351,19962.1328125
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202402026158591?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=32&postcode=WR3%207AE&fromsra,Finance available,95980.0,5.2 V12 BiTurbo AMR Auto Euro 6 (s/s) 2dr,HIGH SPEC|BI-TURBO AMR V12,2019.0,Coupe,19000.0,5.2,639PS,Automatic,Petrol,3.191740412979351,19397.3515625
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202402236861229?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=34&postcode=WR3%207AE&fromsra,Finance available,95950.0,AMR V12 5.2 2dr,Unknown,2019.0,Coupe,19000.0,5.2,630BHP,Automatic,Petrol,3.191740412979351,19367.3515625
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202312154833981?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=46&postcode=WR3%207AE&fromsra,Finance available,104950.0,5.2 V12 BiTurbo AMR Auto Euro 6 (s/s) 2dr,Quantum Silver AMR,2019.0,Coupe,4500.0,5.2,639PS,Automatic,Petrol,3.191740412979351,18798.9296875
Aston Martin Vanquish,https://www.autotrader.co.uk/car-details/202402126489637?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=40&postcode=WR3%207AE&fromsra,Finance available,125000.0,6.0 V12 S T-TronIII Euro 6 2dr,AM Warranty until May 2025,2018.0,Coupe,14520.0,6.0,603PS,Automatic,Petrol,2.0,18322.1171875
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202403137537093?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=43&postcode=WR3%207AE&fromsra,Finance available,143995.0,4.0 V8 Volante Auto Euro 6 (s/s) 2dr,GREAT SPEC - LOW MILEAGE,2023.0,Convertible,473.0,4.0,528BHP,Automatic,Petrol,3.191740412979351,17300.5078125
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202402136517695?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=33&postcode=WR3%207AE&fromsra,Finance available,73991.0,6.0 V12 S Sportshift Euro 5 2dr,FAMSH+2OWNER+CARBON+CAMERA,2014.0,Coupe,17300.0,6.0,573PS,Automatic,Petrol,2.0,17027.3125
Aston Martin DBX,https://www.autotrader.co.uk/car-details/202306018020862?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=44&postcode=WR3%207AE&fromsra,Approved used,149950.0,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr,VAT Qualifying|Sports Exhaust,2023.0,SUV,3036.0,4.0,542BHP,Automatic,Petrol,1.0,16921.484375
Aston Martin DBX,https://www.autotrader.co.uk/car-details/202309041553629?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=56&postcode=WR3%207AE&fromsra,Finance available,148000.0,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr,DEMONSTRATOR,2023.0,SUV,1530.0,4.0,542BHP,Automatic,Petrol,3.191740412979351,16704.53125
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202312184907955?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=40&postcode=WR3%207AE&fromsra,Approved used,139950.0,4.0 V8 F1 Edition Roadster Auto Euro 6 2dr,CARBON INTERIOR PACK,2022.0,Convertible,6148.0,4.0,528BHP,Automatic,Petrol,1.0,16388.734375
