Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Price_Difference
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202401175637022?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=24&postcode=WR3%207AE&fromsra,Approved used,59990.0,4.7 V8 Roadster Sportshift II Euro 6 2dr,Q Special Chestnut Tan,2016.0,Convertible,13000.0,4.7,420BHP,Automatic,Petrol,1.0,-19388.390625
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202309302525809?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=31&postcode=WR3%207AE&fromsra,Unknown,33000.0,4.7 V8 Sportshift Euro 5 2dr,CAT S DAMAGED REPAIRED,2013.0,Coupe,30397.0,4.7,426PS,Automatic,Petrol,3.191740412979351,-19212.1484375
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202401255896972?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=51&postcode=WR3%207AE&fromsra,Finance available,102450.0,4.0 V8 007 Edition Auto Euro 6 2dr,Apple Car Play | Full PPF,2022.0,Coupe,4792.0,4.0,503BHP,Automatic,Petrol,3.191740412979351,-18968.5703125
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202309192139466?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=12&postcode=WR3%207AE&fromsra,Private seller,25500.0,4.3 V8 Euro 4 2dr,Unknown,2006.0,Coupe,25519.0,4.3,385PS,Manual,Petrol,2.0,-18378.921875
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202402136533203?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=16&postcode=WR3%207AE&fromsra,Unknown,69495.0,4.0 V8 Auto Euro 6 2dr,LOW MILEAGE & 1 OWNER,2019.0,Coupe,9210.0,4.0,503BHP,Automatic,Petrol,1.0,-18288.5859375
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202401275954754?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=26&postcode=WR3%207AE&fromsra,Finance available,107950.0,4.0 V8 Auto Euro 6 (s/s) 2dr,1 OWNER | PREMIUM AUDIO,2022.0,Coupe,2637.0,4.0,528BHP,Automatic,Petrol,1.0,-18056.828125
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202312235031518?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=54&postcode=WR3%207AE&fromsra,Private seller,23950.0,3.2 2dr,Unknown,1996.0,Coupe,18400.0,3.2,335BHP,Automatic,Petrol,4.0,-18042.2265625
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202403167656495?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=56&postcode=WR3%207AE&fromsra,Unknown,47950.0,N420 V8 4.7 3dr Coupe Manual Petrol,"AM Warranty Dec 24, Carbon Sea",2011.0,Coupe,10200.0,4.7,Manual,Petrol,1 owner,3.191740412979351,-17942.03125
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202403087361124?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=38&postcode=WR3%207AE&fromsra,Unknown,36995.0,4.3 V8 Roadster Sportshift Euro 4 2dr,Wrapped Matt Grey Metallic,2007.0,Convertible,11428.0,4.3,380BHP,Automatic,Petrol,4.0,-17443.890625
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202403087350984?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=10&postcode=WR3%207AE&fromsra,Unknown,62990.0,6.0 V12 Carbon Edition T-TronicII Euro 5 2dr,MASSIVE SPEC ONLY 5K GEM VGC,2014.0,Coupe,5000.0,6.0,510BHP,Automatic,Petrol,2.0,-17437.4765625
