Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Price_Difference
BMW 3 Series,https://www.autotrader.co.uk/car-details/202402096391322?sort=relevance&advertising-location=at_cars&make=BMW&page=28&postcode=WR3%207AE&fromsra,Unknown,6995.0,3.0 330Ci 330 Clubsport 2dr,RARE FACEFILT MODEL XENONS FSH,2004.0,Coupe,155000.0,3.0,231BHP,Manual,Petrol,4.0,4039.5166015625
BMW 3 Series,https://www.autotrader.co.uk/car-details/202403067288925?sort=relevance&advertising-location=at_cars&make=BMW&page=35&postcode=WR3%207AE&fromsra,Finance available,8995.0,2.0 320d M Sport Euro 5 (s/s) 4dr,"Fullservice history, good spec",2012.0,Saloon,79500.0,2.0,184PS,Manual,Diesel,3.0,2548.537109375
BMW 1 Series,https://www.autotrader.co.uk/car-details/202403127470355?sort=relevance&twcs=true&advertising-location=at_cars&make=BMW&page=39&postcode=WR3%207AE&fromsra,Finance available,5490.0,1.6 116i M Sport Euro 4 5dr,T/CHAIN DONE - ULEZ COMPLIANT,2008.0,Hatchback,48387.0,1.6,124PS,Manual,Petrol,3.786624203821656,2335.6865234375
BMW 3 Series,https://www.autotrader.co.uk/car-details/202401195716909?sort=relevance&advertising-location=at_cars&make=BMW&page=12&postcode=WR3%207AE&fromsra,Unknown,6995.0,2.0 320i M Sport Business Edition Steptronic Euro 5 4dr,FSH - Low Miles - Heated Seats,2010.0,Saloon,67271.0,2.0,168BHP,Automatic,Petrol,3.786624203821656,1951.74755859375
BMW 3 Series,https://www.autotrader.co.uk/car-details/202401155573872?sort=relevance&advertising-location=at_cars&make=BMW&page=35&postcode=WR3%207AE&fromsra,Unknown,6000.0,3.0 325i M Sport Steptronic Euro 4 2dr,Unknown,2008.0,Coupe,59970.0,3.0,218PS,Automatic,Petrol,5.0,1827.80322265625
BMW X6,https://www.autotrader.co.uk/car-details/202401185682153?sort=relevance&advertising-location=at_cars&make=BMW&page=15&postcode=WR3%207AE&fromsra,Unknown,8995.0,3.0 30d Steptronic xDrive Euro 4 5dr,FSH+12MONTHS MOT+WARRANTY,2010.0,SUV,92000.0,3.0,235PS,Automatic,Diesel,3.786624203821656,1804.5654296875
BMW 3 Series,https://www.autotrader.co.uk/car-details/202310032630552?sort=relevance&advertising-location=at_cars&make=BMW&page=34&postcode=WR3%207AE&fromsra,Private seller,4075.0,3.0 330Ci 330 SE 2dr,"GOOD SPEC, LOW MILEAGE",2001.0,Coupe,87300.0,3.0,231BHP,Automatic,Petrol,4.0,1467.846435546875
BMW 5 Series,https://www.autotrader.co.uk/car-details/202312214968958?sort=relevance&advertising-location=at_cars&make=BMW&page=20&postcode=WR3%207AE&fromsra,Unknown,4300.0,2.5 525i Sport 4dr,recently restored amazing,2002.0,Saloon,167000.0,2.5,192BHP,Automatic,Petrol,3.0,1409.104248046875
BMW 3 Series,https://www.autotrader.co.uk/car-details/202403087361399?sort=relevance&advertising-location=at_cars&make=BMW&page=16&postcode=WR3%207AE&fromsra,Unknown,5295.0,2.0 320i M Sport Euro 4 4dr,"FRESH SERVICE &MOT ,FSH, 2keys",2009.0,Saloon,72000.0,2.0,170PS,Manual,Petrol,3.786624203821656,1392.204345703125
BMW 1 Series,https://www.autotrader.co.uk/car-details/202308090608156?sort=relevance&advertising-location=at_cars&make=BMW&page=35&postcode=WR3%207AE&fromsra,Unknown,3995.0,2.0 118i ES Steptronic Euro 4 5dr,JUST BEEN SERVICED MOT 02/25,2007.0,Hatchback,72000.0,2.0,143PS,Automatic,Petrol,2.0,1374.421142578125
