Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Price_Difference
BMW 4 Series,https://www.autotrader.co.uk/car-details/202402266946232?sort=relevance&advertising-location=at_cars&make=BMW&page=13&postcode=WR3%207AE&fromsra,Finance available,5995.0,2.0 420d Luxury Euro 6 (s/s) 2dr,PX CLEARANCE!,2014.0,Coupe,103180.0,2.0,181BHP,Manual,Diesel,2.0,-13165.119140625
BMW 1 Series,https://www.autotrader.co.uk/car-details/202401185656106?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&make=BMW&page=42&postcode=WR3%207AE&fromsra,Finance available,17407.0,2.0 118d M Sport Auto Euro 6 (s/s) 5dr,FREE 12-MONTH WARRANTY,2020.0,Hatchback,63202.0,2.0,150PS,Automatic,Diesel,1.0,-9910.09765625
BMW 1 Series,https://www.autotrader.co.uk/car-details/202403167644733?sort=relevance&advertising-location=at_cars&make=BMW&page=37&postcode=WR3%207AE&fromsra,Finance available,17490.0,1.5 118i M Sport Euro 6 (s/s) 5dr,1OWNER-LEATHER-H/SEATS-NAV-PDC,2020.0,Hatchback,27000.0,1.5,138BHP,Manual,Petrol,1.0,-9827.09765625
BMW 1 Series,https://www.autotrader.co.uk/car-details/202312014450302?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&make=BMW&page=18&postcode=WR3%207AE&fromsra,Finance available,18449.0,1.5 118i M Sport Euro 6 (s/s) 5dr,LOW MILEAGE|6M+ MOT,2020.0,Hatchback,14594.0,1.5,136BHP,Manual,Petrol,2.0,-8868.09765625
BMW 1 Series,https://www.autotrader.co.uk/car-details/202403177680662?sort=relevance&advertising-location=at_cars&make=BMW&page=21&postcode=WR3%207AE&fromsra,Finance available,5399.0,2.0 118d SE Auto Euro 6 (s/s) 5dr,"MOT Dec 24, ULEZ compliant",2016.0,Hatchback,119600.0,2.0,150PS,Automatic,Diesel,2.0,-8578.0
BMW 3 Series,https://www.autotrader.co.uk/car-details/202403087360506?sort=relevance&advertising-location=at_cars&make=BMW&page=37&postcode=WR3%207AE&fromsra,Unknown,4990.0,2.0 320d ED EfficientDynamics Business Touring Auto Euro 5 (s/s) 5dr,FSH | LEATHER | SAT NAV | PDC,2014.0,Estate,168000.0,2.0,163PS,Automatic,Diesel,3.786624203821656,-8481.2451171875
BMW 1 Series,https://www.autotrader.co.uk/car-details/202310303472793?sort=relevance&advertising-location=at_cars&make=BMW&page=23&postcode=WR3%207AE&fromsra,Finance available,5800.0,1.5 116d Sport Euro 6 (s/s) 5dr,ULEZ DIESEL MANUAL SAT NAV,2015.0,Hatchback,105000.0,1.5,116PS,Manual,Diesel,3.0,-8289.0849609375
BMW 2 Series Active Tourer,https://www.autotrader.co.uk/car-details/202403077303580?sort=relevance&advertising-location=at_cars&make=BMW&page=10&postcode=WR3%207AE&fromsra,Unknown,2700.0,2.0 218d SE Euro 6 (s/s) 5dr,ENGINE SMOKES,2015.0,MPV,120000.0,2.0,150PS,Manual,Diesel,2.0,-7964.583984375
BMW 3 Series,https://www.autotrader.co.uk/car-details/202403087348943?sort=relevance&advertising-location=at_cars&make=BMW&page=16&postcode=WR3%207AE&fromsra,Finance available,4500.0,2.0 316d ES Euro 5 (s/s) 4dr,Bmw 320,2014.0,Saloon,124000.0,2.0,116PS,Manual,Diesel,4.0,-7263.263671875
BMW 1 Series,https://www.autotrader.co.uk/car-details/202311214159783?sort=relevance&advertising-location=at_cars&make=BMW&page=29&postcode=WR3%207AE&fromsra,Finance available,6750.0,1.5 116d M Sport Euro 6 (s/s) 3dr,FULL HISTRY_NEW MOT_BLACK PACK,2016.0,Hatchback,122762.0,1.5,116PS,Manual,Diesel,3.0,-7227.0
