Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Price_Difference
Jaguar XJ,https://www.autotrader.co.uk/car-details/202403107412433?sort=relevance&advertising-location=at_cars&make=Jaguar&page=27&postcode=WR3%207AE&fromsra,Unknown,9995.0,3.0,Unbelievable example of beauty,2007.0,Saloon,58000.0,3.0,Automatic,Petrol,3 owners,3.4427480916030535,5248.4541015625
Jaguar XJ,https://www.autotrader.co.uk/car-details/202403147556540?sort=relevance&advertising-location=at_cars&make=Jaguar&page=23&postcode=WR3%207AE&fromsra,Unknown,8995.0,2.7 TD Sovereign 4dr,STUNNING X358 SOVEREIGN XJ!!,2007.0,Saloon,78000.0,2.7,204BHP,Automatic,Diesel,3.4427480916030535,4248.4541015625
Jaguar XF,https://www.autotrader.co.uk/car-details/202403097380078?sort=relevance&advertising-location=at_cars&make=Jaguar&page=24&postcode=WR3%207AE&fromsra,Unknown,6950.0,4.2 V8 SV8 Auto Euro 4 4dr,SUPERCHARGED V8,2008.0,Saloon,105000.0,4.2,416PS,Automatic,Petrol,5.0,3071.726806640625
Jaguar XF,https://www.autotrader.co.uk/car-details/202403097391694?sort=relevance&advertising-location=at_cars&make=Jaguar&page=24&postcode=WR3%207AE&fromsra,Unknown,10940.0,3.0d S V6 Portfolio Auto Euro 5 4dr,STUNNING EXAMPLE. HIGH SPEC.,2012.0,Saloon,40000.0,3.0,275PS,Automatic,Diesel,3.4427480916030535,2990.52490234375
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202403127496179?sort=relevance&advertising-location=at_cars&make=Jaguar&page=8&postcode=WR3%207AE&fromsra,Unknown,5750.0,2.5 V6 SE (AWD) 4dr,One Lady Owner 17 Years,2006.0,Saloon,32780.0,2.5,194BHP,Automatic,Petrol,1.0,2970.048583984375
Jaguar XE,https://www.autotrader.co.uk/car-details/202403167654597?sort=relevance&advertising-location=at_cars&make=Jaguar&page=33&postcode=WR3%207AE&fromsra,Unknown,10999.0,2.0d R-Sport Auto Euro 6 (s/s) 4dr,PAN ROOF*SAT NAV*REAR CAMERA,2015.0,Saloon,59000.0,2.0,180PS,Automatic,Diesel,3.4427480916030535,2859.95458984375
Jaguar XK8,https://www.autotrader.co.uk/car-details/202307039227666?sort=relevance&advertising-location=at_cars&make=Jaguar&page=14&postcode=WR3%207AE&fromsra,Unknown,6995.0,4.2 2dr,* LOW MILEAGE * GENUINE CAR *,2003.0,Coupe,47000.0,4.2,300BHP,Automatic,Petrol,3.4427480916030535,2500.412109375
Jaguar XF,https://www.autotrader.co.uk/car-details/202401185659960?sort=relevance&advertising-location=at_cars&make=Jaguar&page=31&postcode=WR3%207AE&fromsra,Finance available,15795.0,3.0d S V6 Portfolio Auto Euro 5 (s/s) 4dr,FULL SERVICE HISTORY.,2015.0,Saloon,47717.0,3.0,275PS,Automatic,Diesel,2.0,2213.1083984375
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202403127480070?sort=relevance&advertising-location=at_cars&make=Jaguar&page=32&postcode=WR3%207AE&fromsra,Unknown,4500.0,2.5 V6 S (AWD) 4dr,Unknown,2005.0,Saloon,33938.0,2.5,194BHP,Manual,Petrol,3.0,2170.884765625
Jaguar S-Type,https://www.autotrader.co.uk/car-details/202402146557333?sort=relevance&advertising-location=at_cars&make=Jaguar&page=33&postcode=WR3%207AE&fromsra,Unknown,4995.0,2.7D V6 4dr,READY TO DRIVE AWAY TODAY,2005.0,Saloon,70323.0,2.7,206BHP,Automatic,Diesel,3.4427480916030535,2074.2490234375
