Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Price_Difference
Jaguar XE,https://www.autotrader.co.uk/car-details/202403127468739?sort=relevance&advertising-location=at_cars&make=Jaguar&page=24&postcode=WR3%207AE&fromsra,Finance available,4500.0,2.0d SE Euro 6 (s/s) 4dr,Unknown,2017.0,Saloon,105000.0,2.0,163PS,Manual,Diesel,1.0,-13827.560546875
Jaguar XE,https://www.autotrader.co.uk/car-details/202402256923502?sort=relevance&advertising-location=at_cars&make=Jaguar&page=25&postcode=WR3%207AE&fromsra,Finance available,8995.0,2.0d SE Auto Euro 6 (s/s) 4dr,4 MONTH WARRANTY,2018.0,Saloon,85516.0,2.0,163PS,Automatic,Diesel,2.0,-12783.103515625
Jaguar XE,https://www.autotrader.co.uk/car-details/202309111825072?sort=relevance&advertising-location=at_cars&make=Jaguar&page=2&postcode=WR3%207AE&fromsra,Finance available,5995.0,2.0d Portfolio Auto AWD Euro 6 (s/s) 4dr,"HPI CLEAR, One Owner,NO OFFERS",2017.0,Saloon,53000.0,2.0,180PS,Automatic,Diesel,2.0,-12332.560546875
Jaguar XF,https://www.autotrader.co.uk/car-details/202311194102117?sort=relevance&advertising-location=at_cars&make=Jaguar&page=18&postcode=WR3%207AE&fromsra,Finance available,3700.0,2.0d Prestige Auto Euro 6 (s/s) 4dr,Spares and Repairs,2016.0,Saloon,102500.0,2.0,163PS,Automatic,Diesel,2.0,-12223.3359375
Jaguar F-PACE,https://www.autotrader.co.uk/car-details/202403127478504?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Finance available,8495.0,2.0 D180 R-Sport Auto AWD Euro 6 (s/s) 5dr,Heated seats,2016.0,SUV,122000.0,2.0,180PS,Automatic,Diesel,3.4427480916030535,-10869.3984375
Jaguar XE,https://www.autotrader.co.uk/car-details/202403127489270?sort=relevance&twcs=true&advertising-location=at_cars&make=Jaguar&page=13&postcode=WR3%207AE&fromsra,Finance available,8789.0,2.0d R-Sport Auto Euro 6 (s/s) 4dr,"Sat Nav, Cruise",2017.0,Saloon,117297.0,2.0,178BHP,Automatic,Diesel,3.4427480916030535,-9538.560546875
Jaguar XF,https://www.autotrader.co.uk/car-details/202403177668615?sort=relevance&advertising-location=at_cars&make=Jaguar&page=17&postcode=WR3%207AE&fromsra,Finance available,4250.0,2.2d Premium Luxury Auto Euro 5 (s/s) 4dr,Luxury for a refined price.,2014.0,Saloon,113500.0,2.2,200PS,Automatic,Diesel,1.0,-9367.1396484375
Jaguar XF,https://www.autotrader.co.uk/car-details/202403127496710?sort=relevance&advertising-location=at_cars&make=Jaguar&page=34&postcode=WR3%207AE&fromsra,Finance available,6695.0,2.0d R-Sport Euro 6 (s/s) 4dr,FULL JAGUAR HISTORY 1 OWNER,2016.0,Saloon,115000.0,2.0,180PS,Manual,Diesel,1.0,-9228.3359375
Jaguar XJ,https://www.autotrader.co.uk/car-details/202403047209791?sort=relevance&advertising-location=at_cars&make=Jaguar&page=11&postcode=WR3%207AE&fromsra,Private seller,4800.0,3.0d V6 Portfolio Auto Euro 6 (s/s) 4dr (LWB),New engine needed - Non runner,2016.0,Saloon,281046.0,3.0,300PS,Automatic,Diesel,2.0,-9107.7265625
Jaguar F-PACE,https://www.autotrader.co.uk/car-details/202401055293898?sort=relevance&advertising-location=at_cars&make=Jaguar&page=22&postcode=WR3%207AE&fromsra,Finance available,10490.0,2.0 D180 Portfolio Auto AWD Euro 6 (s/s) 5dr,PX TO CLEAR + TIMING CHAIN,2016.0,SUV,83000.0,2.0,180PS,Automatic,Diesel,3.4427480916030535,-8874.3984375
