Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Price_Difference
Porsche 718 Cayman,https://www.autotrader.co.uk/car-details/202403177674196?sort=relevance&advertising-location=at_cars&make=Porsche&page=27&postcode=WR3%207AE&fromsra,Finance available,47450.0,2.5T GTS PDK Euro 6 (s/s) 2dr,GTS Pack|Chrono|S/Exh|Finance,2018.0,Coupe,23900.0,2.5,365PS,Automatic,Petrol,3.498542274052478,12094.5625
Porsche Macan,https://www.autotrader.co.uk/car-details/202402086363939?sort=relevance&advertising-location=at_cars&make=Porsche&page=26&postcode=WR3%207AE&fromsra,Finance available,46500.0,3.0T V6 S PDK 4WD Euro 6 (s/s) 5dr,Unknown,2020.0,SUV,17151.0,3.0,354PS,Automatic,Petrol,1.0,9398.19140625
Porsche Macan,https://www.autotrader.co.uk/car-details/202403027128466?sort=relevance&advertising-location=at_cars&make=Porsche&page=38&postcode=WR3%207AE&fromsra,Finance available,32750.0,3.0 V6 S PDK 4WD Euro 6 (s/s) 5dr,"20"" RS Alloys, Pan Roof",2015.0,SUV,16881.0,3.0,339BHP,Automatic,Petrol,3.498542274052478,8070.18359375
Porsche 718 Cayman,https://www.autotrader.co.uk/car-details/202403067270115?sort=relevance&advertising-location=at_cars&make=Porsche&page=24&postcode=WR3%207AE&fromsra,Finance available,46950.0,2.0T PDK Euro 6 (s/s) 2dr,Over £12k Factory Options!,2020.0,Coupe,12700.0,2.0,300PS,Automatic,Petrol,3.498542274052478,8035.7890625
Porsche Panamera,https://www.autotrader.co.uk/car-details/202401155577007?sort=relevance&advertising-location=at_cars&make=Porsche&page=20&postcode=WR3%207AE&fromsra,Finance available,33449.0,3.0 V6 E-Hybrid S TiptronicS Euro 6 (s/s) 5dr,1 OWNER | SUNROOF|SPORT CHRONO,2016.0,Hatchback,33000.0,3.0,416PS,Automatic,Petrol Plug-in Hybrid,1.0,7679.517578125
Porsche Cayenne,https://www.autotrader.co.uk/car-details/202403117455086?sort=relevance&advertising-location=at_cars&make=Porsche&page=33&postcode=WR3%207AE&fromsra,Finance available,26950.0,3.0 TD V6 TiptronicS 4WD Euro 6 (s/s) 5dr,"LOW MILES, High spec, 21"", Pan",2014.0,SUV,31200.0,3.0,262PS,Automatic,Diesel,1.0,7052.619140625
Porsche Boxster,https://www.autotrader.co.uk/car-details/202309192136630?sort=relevance&advertising-location=at_cars&make=Porsche&page=35&postcode=WR3%207AE&fromsra,Finance available,23890.0,3.4 987 RS 60 Spyder 2dr,"OUT OF A BOX - MINT CAR, FSH",2008.0,Convertible,47980.0,3.4,303BHP,Automatic,Petrol,3.498542274052478,6841.03125
Porsche Macan,https://www.autotrader.co.uk/car-details/202312124753296?sort=relevance&advertising-location=at_cars&make=Porsche&page=25&postcode=WR3%207AE&fromsra,Finance available,37990.0,3.6T V6 Turbo PDK 4WD Euro 6 (s/s) 5dr,****SOLD****,2018.0,SUV,40000.0,3.6,399PS,Automatic,Petrol,3.0,6752.654296875
Porsche Boxster,https://www.autotrader.co.uk/car-details/202303165294044?sort=relevance&advertising-location=at_cars&make=Porsche&page=33&postcode=WR3%207AE&fromsra,Unknown,16995.0,2.7 987 2dr,LOW MILEAGE + 6 MONTH WARRANTY,2007.0,Convertible,24000.0,2.7,245BHP,Manual,Petrol,4.0,6288.05078125
Porsche Cayenne,https://www.autotrader.co.uk/car-details/202402026160076?sort=relevance&advertising-location=at_cars&make=Porsche&page=32&postcode=WR3%207AE&fromsra,Finance available,26098.0,3.6T V6 S TiptronicS 4WD Euro 6 (s/s) 5dr,PAN ROOF - 17K OPTIONS - SPEC!,2014.0,SUV,56493.0,3.6,420BHP,Automatic,Petrol,5.0,6200.619140625
