Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Price_Difference
Porsche Macan,https://www.autotrader.co.uk/car-details/202312225008216?sort=relevance&advertising-location=at_cars&make=Porsche&page=28&postcode=WR3%207AE&fromsra,Finance available,15995.0,3.0 TD V6 S PDK 4WD Euro 6 (s/s) 5dr,FPSH - TOP SPEC - MUST READ,2016.0,SUV,178000.0,3.0,258PS,Automatic,Diesel,2.0,-11750.02734375
Porsche Boxster,https://www.autotrader.co.uk/car-details/202401316084234?sort=relevance&advertising-location=at_cars&make=Porsche&page=1&postcode=WR3%207AE&fromsra,Unknown,2495.0,3.2 986 S Tiptronic S 2dr,"Px to clear ! Read add.!!,,,",2000.0,Convertible,189000.0,3.2,252BHP,Automatic,Petrol,3.498542274052478,-10111.544921875
Porsche Panamera,https://www.autotrader.co.uk/car-details/202402287026815?sort=relevance&advertising-location=at_cars&make=Porsche&page=39&postcode=WR3%207AE&fromsra,Finance available,34995.0,2.9 V6 E-Hybrid 14kWh 4 Saloon PDK 4WD Euro 6 (s/s) 5dr,FULL PORSCHE SERVICE HISTORY!,2018.0,Hatchback,118000.0,2.9,462PS,Automatic,Petrol Plug-in Hybrid,1.0,-9754.76171875
Porsche Cayenne,https://www.autotrader.co.uk/car-details/202309131921295?sort=relevance&advertising-location=at_cars&make=Porsche&page=16&postcode=WR3%207AE&fromsra,Unknown,17995.0,3.0 V6 S Platinum Edition TiptronicS 4WD Euro 6 (s/s) 5dr,2.OWNERS-F.SRVC.HSTRY-ULEZFREE,2017.0,SUV,173000.0,3.0,416PS,Automatic,Petrol Plug-in Hybrid,2.0,-9593.6015625
Porsche Cayman,https://www.autotrader.co.uk/car-details/202310263369303?sort=relevance&advertising-location=at_cars&make=Porsche&page=21&postcode=WR3%207AE&fromsra,Finance available,20400.0,2.7 981 PDK Euro 5 (s/s) 2dr,Unknown,2014.0,Coupe,73800.0,2.7,275PS,Automatic,Petrol,4.0,-8882.619140625
Porsche Cayman,https://www.autotrader.co.uk/car-details/202401115465612?sort=relevance&advertising-location=at_cars&make=Porsche&page=13&postcode=WR3%207AE&fromsra,Finance available,20980.0,2.7 981 PDK Euro 6 (s/s) 2dr,"Great History, 1 Former Keeper",2014.0,Coupe,94799.0,2.7,275PS,Automatic,Petrol,3.498542274052478,-8302.619140625
Porsche Cayenne,https://www.autotrader.co.uk/car-details/202402146564224?sort=relevance&advertising-location=at_cars&make=Porsche&page=6&postcode=WR3%207AE&fromsra,Finance available,29975.0,3.0 TD V6 Platinum Edition TiptronicS 4WD Euro 6 (s/s) 5dr,"Comfort Pack, Luxor Leather!!",2018.0,SUV,40500.0,3.0,262PS,Automatic,Diesel,3.498542274052478,-8069.48046875
Porsche Panamera,https://www.autotrader.co.uk/car-details/202311304447746?sort=relevance&advertising-location=at_cars&make=Porsche&page=33&postcode=WR3%207AE&fromsra,Finance available,42000.0,3.0 V6 4 Sport Turismo PDK 4WD Euro 6 (s/s) 5dr,Pano Roof|Black Pack|FSH,2018.0,Estate,70000.0,3.0,325BHP,Automatic,Petrol,2.0,-7805.4296875
Porsche 911,https://www.autotrader.co.uk/car-details/202309292477817?sort=relevance&advertising-location=at_cars&make=Porsche&page=34&postcode=WR3%207AE&fromsra,Unknown,19499.0,3.6 996 Carrera 2 2dr,BORE SCOPE CLEAR - LOW MILES,2004.0,Coupe,60000.0,3.6,320BHP,Manual,Petrol,3.498542274052478,-7789.875
Porsche Macan,https://www.autotrader.co.uk/car-details/202403187683956?sort=relevance&advertising-location=at_cars&make=Porsche&page=29&postcode=WR3%207AE&fromsra,Finance available,23000.0,3.0 V6 S PDK 4WD Euro 6 (s/s) 5dr,"£12,567 OF OPTIONAL EXTRAS",2017.0,SUV,81750.0,3.0,344PS,Automatic,Petrol,3.0,-7763.294921875
